id,latent_0,latent_1,latent_2,latent_3,latent_4
1fVGYCQ9sjrzrCDxm3EIme,0.77791214,-0.5378685,-0.91020906,0.7995265,-1.031849
7ulxhvo5m2tAOCDgUNeRP7,-0.017854456,-0.6511103,-0.780747,0.26085788,1.5909541
1ZeyQLAkPLYDbXCIgz66RI,0.29623994,1.3868151,-0.4372692,-0.37175786,0.028582914
5LeQbXwi0De84dRvQhz2qd,-0.3951395,-0.23026815,-1.3894712,0.58646405,-0.38919702
4wnet4WNh2En5YkKv2UvDB,0.38624224,0.5825515,-1.0762348,-1.2605081,-0.37177148
0qJPtO2Z89BXjS9ruLDwoz,-0.49016824,0.17831036,-0.7364906,-0.1033894,1.1606802
3wND19jNYbkxEscnNZ4wSR,0.6774065,-1.6004717,2.8690798,1.1002175,0.9942175
2Lpc1zD5n7n5ta0qL2vygI,0.065148756,1.5061057,0.9825467,-0.39519224,-0.53437084
4XW7lrtkwCd6kJiDlL3NNc,-0.46746096,-0.9051433,-0.22434373,-0.041516263,1.222478
7o4iNlrcvoSM7sdHTMHt6Z,-0.21552058,-0.25543064,0.7460265,1.1598356,2.1948035
5HrEFAbyD9tta4jJds8UX3,1.5482762,-1.2801151,-0.6868672,0.49255693,-1.1338772
2WPgzfvTrEu6Uw06lz6OJh,-0.18594228,1.3710533,-0.34972826,0.60319084,0.54537964
6nBTt12mQDaPI9uSykGVAk,0.7425454,-1.8438343,1.7474563,0.11906619,0.12456232
7DHApOHsIFo7EyfieArYGE,0.057201914,0.16601023,-1.1700325,2.025784,-0.3330902
3CVKRjJLox5X5GqZUKfZwN,-0.46052256,-0.67209005,-0.5431207,-1.3904912,0.8980483
0ECndQ9SIFe1oAUZZZtP7e,0.15947229,0.517925,0.932916,0.7046382,-0.86788785
28L80kack6hoYPyEwNphQv,-0.9677725,0.77056706,-1.5431943,-0.33017212,-0.4301069
3mTZll3VFdD5ugphZWkmSC,0.4892139,-1.1319283,-0.47240564,-0.4062587,1.3397803
1hAZ85DXjpBeVM6w7O2EGl,0.25809145,-0.94104517,0.19239204,-0.03478679,1.1330931
3j1KPbrGwq2UtJqkZFRnyx,-0.36407498,2.0283048,0.78051686,0.94373715,1.3183056
1YDzi0MrL0OCTHlERIwuo6,0.1776694,-0.3603466,-1.1408623,-0.09366684,-0.84624076
7nLK5rjEy6LPZNPG1BXxu7,1.1475445,-0.20938894,-1.4750973,-1.0559129,-1.0902026
7ehMJ4S5RF1HWLkyTIxxaO,-1.792543,0.5264431,-0.6787591,1.1921502,-1.1542683
1UVf2Zbm3bxriffO49bLQx,-0.26394776,-0.51880705,0.2704493,-0.20580079,-1.7857358
3UlZgCnBtyr0muZoYFffrq,-0.4198255,0.06831981,0.62484246,-0.17716756,-0.5415912
6cHCBxB04Ly9oV8Upm4ZT4,0.047760613,0.3361991,-0.32235438,0.41149232,-0.22222555
2Xk9VT1bDprFr4pnvLRk64,0.7083523,0.1243764,-1.6479326,-0.06920981,-0.380088
1gM9PlazpPJnCh8ThAexs5,-1.058612,-0.45062774,0.7216302,-0.617314,0.4721046
4zOPiRARgFNhINyVmsK2Dk,0.6826749,-0.32725853,-0.44088706,0.05217632,-0.27441254
1FgOAGSvqr9VusEWNcyQY0,0.6285669,-0.49933782,1.3549685,3.1623118,0.18956739
4oXVyKiKXZg3Qig3fpEzxZ,1.0118945,0.22745886,0.28326723,-0.5859088,0.31088847
01FcGpdmzm5NaZRpsRYco4,-0.30672196,-1.1425611,-1.0379664,-1.3282729,0.38209942
4XqEZ0pEcdjFk8SBBJxrUC,-1.915104,-0.112192206,-1.7173048,-0.52149993,-0.5607842
0DWuFu5BOvuDbhnnKabNWC,0.8923495,-1.3001167,1.6151772,-1.027884,0.047744274
0UZGr6zKowek87JQBVATGa,0.6759177,-0.9202502,0.8621123,-0.08901334,0.49558723
0dclPoksOdmJ1vXNZdfmMx,-0.38442093,0.8484575,-0.85224193,-0.8781981,-1.4695264
3TqjYXINYj7ddUjwPDvMj9,-0.622359,0.20736626,-0.93638885,0.9637585,0.8960013
2dLygHvk8OjUFx6UFKazMF,1.4019549,1.5736516,1.0996389,2.1503284,-0.0123194745
